id,title,year,category,publication_type,primary_url,code_url
sparsh,Sparsh: Self-supervised Touch Representations for Vision-based Tactile Sensing,2024,tactile-representation,conference,https://arxiv.org/abs/2410.24090,https://github.com/facebookresearch/sparsh
t3,Transferable Tactile Transformers for Representation Learning Across Diverse Sensors and Tasks,2024,tactile-representation,preprint,https://arxiv.org/abs/2406.13640,https://github.com/alanzjl/t3
anytouch,AnyTouch: Learning Unified Static-Dynamic Representation across Multiple Visuo-tactile Sensors,2025,tactile-representation,preprint,https://arxiv.org/abs/2502.12191,
unitouch,UniTouch: A Unified Representation of Touch and Vision for Robotic Manipulation,2024,tactile-representation,conference,https://arxiv.org/abs/2401.18084,
digit,DIGIT: A Novel Design for a Low-Cost Compact High-Resolution Tactile Sensor with Application to In-Hand Manipulation,2020,tactile-sensing,journal,https://arxiv.org/abs/2005.14679,https://github.com/facebookresearch/digit
gelsight,GelSight: High-Resolution Robot Tactile Sensors for Estimating Geometry and Force,2017,tactile-sensing,journal,https://doi.org/10.3390/s17122762,
geltip,GelTip: A Finger-shaped Optical Tactile Sensor for Robotic Manipulation,2020,tactile-sensing,preprint,https://arxiv.org/abs/2008.05404,
tactip,Soft Biomimetic Optical Tactile Sensing with the TacTip: A Review,2021,tactile-sensing,review,https://arxiv.org/abs/2105.14455,
dextouch,DexTouch: Learning to Seek and Manipulate Objects with Tactile Dexterity,2024,tactile-manipulation,preprint,https://arxiv.org/abs/2401.12496,
tactile-insertion,Learning Tactile Insertion in the Real World,2024,tactile-manipulation,preprint,https://arxiv.org/abs/2405.00383,
dexitac,DexiTac: Tactile-Driven Dexterous Manipulation with a Soft Reconfigurable Gripper,2024,tactile-manipulation,preprint,https://arxiv.org/abs/2405.02897,
tac2motion,Tac2Motion: Tactile-Based Reward Shaping for Dexterous Manipulation,2025,tactile-manipulation,preprint,https://arxiv.org/abs/2509.17812,
feeling-success,The Feeling of Success: Does Touch Sensing Help Predict Grasp Outcomes?,2017,tactile-manipulation,conference,https://arxiv.org/abs/1710.05512,
more-than-a-feeling,More Than a Feeling: Learning to Grasp via Visual and Tactile Sensing,2018,tactile-manipulation,conference,https://arxiv.org/abs/1805.11085,
evetac,Evetac: An Event-based Optical Tactile Sensor for High-speed Robotic Manipulation,2024,tactile-manipulation,journal,https://arxiv.org/abs/2312.01236,
reactive-diffusion,Reactive Diffusion Policy: Slow-Fast Visual-Tactile Policy Learning for Contact-Rich Manipulation,2025,tactile-manipulation,preprint,https://arxiv.org/abs/2503.02881,
rt1,RT-1: Robotics Transformer for Real-World Control at Scale,2022,vla-foundation,conference,https://arxiv.org/abs/2212.06817,
rt2,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,vla-foundation,conference,https://arxiv.org/abs/2307.15818,
openvla,OpenVLA: An Open-Source Vision-Language-Action Model,2024,vla-foundation,conference,https://arxiv.org/abs/2406.09246,https://github.com/openvla/openvla
octo,Octo: An Open-Source Generalist Robot Policy,2024,vla-foundation,conference,https://arxiv.org/abs/2405.12213,https://github.com/octo-models/octo
pi0,π₀: A Vision-Language-Action Flow Model for General Robot Control,2024,vla-foundation,preprint,https://arxiv.org/abs/2410.24164,
diffusion-policy,Diffusion Policy: Visuomotor Policy Learning via Action Diffusion,2023,robot-policy,conference,https://arxiv.org/abs/2303.04137,
act,Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware,2023,robot-policy,conference,https://arxiv.org/abs/2304.13705,
bridgedata-v2,BridgeData V2: A Dataset for Robot Learning at Scale,2023,robot-dataset,conference,https://arxiv.org/abs/2308.12952,
open-x-embodiment,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,2023,robot-dataset,preprint,https://arxiv.org/abs/2310.08864,
